Supporting Information for "Machine Learning from Heteroscedastic Data: Second Virial Coefficients of Alkane Isomers"
Authors: Arpit Bansal, Andrew J. Schultz, David A. Kofke and Johannes Hachmann
Journal of Physical Chemistry B (2022)

SMILES: Line notation of a chemical compound
B2: Second virial coefficient computed using MSMC simulations (dm^3/mol)
UB2: Uncertainty (68% confidence level) in MSMC-obtained B2 (dm^3/mol)
These simulations are carried out in Etomica using etomica.virial.simulations.VirialAlkanesAmber class available at https://github.com/etomica/etomica/tree/677f479ba8b41515cea06e873d3f2a82c0259e27

SMILES	B2	UB2
CCCC(C(C)(C)C)C(C)C	-6.880265803	0.03289734
CCCCC(CCCC)(C)C	-9.273290268	0.059988363
CCCCC(CC(C)C)(C)C	-8.441302665	0.044457773
CCCCC(CC(C)(C)C)C	-8.643659984	0.050860869
CC(CC(CC(C)(C)C)C)C	-7.581676258	0.039404049
CCCC(CC(C)(C)C)(C)C	-7.491212363	0.039922289
CC(C(CC(C)(C)C)(C)C)C	-6.679111692	0.02933973
CC(C(C(C)(C)C)C(C)C)C	-6.272015671	0.026349584
CC(CC(CC(C)C)(C)C)C	-7.639448483	0.038781201
CCCCCC(C(CC)C)C	-10.16380162	0.072655366
CCC(C(CCC(C)C)C)C	-9.019771739	0.056251624
CCCC(C(C(CC)C)C)C	-8.319646199	0.05472439
CCC(C(C(C(C)C)C)C)C	-7.560924052	0.040239471
CCCC(C(CC)C)(CC)C	-8.021069429	0.043595643
CCC(C(C(C)C)(CC)C)C	-7.141684635	0.033409567
CCCCC(C(CC)C)CC	-8.939247822	0.060989232
CCC(C(CC)C)CC(C)C	-7.720355984	0.042581527
CCCCCC(CC)(CC)C	-9.319898611	0.056474975
CCC(CCC(C)C)(CC)C	-8.108581058	0.04353606
CCCC(C(CC)(CC)C)C	-7.859738521	0.039858621
CCC(C(C(C)C)C)(CC)C	-7.215530017	0.033903036
CCCCC(CC)(CC)CC	-8.523359808	0.047043905
CCC(CC(C)C)(CC)CC	-7.931247003	0.0427269
CCCCCC(C(C)(C)C)C	-9.122188376	0.054757381
CC(CCC(C(C)(C)C)C)C	-8.053795848	0.043657562
CCCC(C(C(C)(C)C)C)C	-6.974514233	0.03157472
CC(C(C(C(C)(C)C)C)C)C	-6.577087337	0.027919373
CCCC(C(C)(C)C)(CC)C	-7.026795977	0.03157792
CCC(C(C)(C)C)(C(C)C)C	-6.614562322	0.028115458
CCCCC(C(CC)C)(C)C	-8.330496656	0.04410196
CCC(C(CC(C)C)(C)C)C	-7.554185561	0.038997605
CCCCC(C(C)(C)C)CC	-8.015505086	0.039553233
CCC(C(C)(C)C)CC(C)C	-6.917510116	0.032565616
CCCCC(C(C)(C)C)(C)C	-7.502847729	0.032107038
CC(CC(C(C)(C)C)(C)C)C	-6.641113144	0.0300813
CCC(CCCC(CC)C)C	-10.35471685	0.071984053
CCC(CCC(CC)CC)C	-9.538902089	0.075153467
CCC(CCC(CC)(C)C)C	-8.309913788	0.051792993
CCC(CC(C(CC)C)C)C	-8.112239619	0.049566005
CCC(C(C(CC)CC)C)C	-7.607386999	0.038706075
CCC(C(C(CC)(C)C)C)C	-6.930976547	0.032985301
CCC(CC(CC)(CC)C)C	-7.961717272	0.039184319
CCC(C(CC)(CC)C)CC	-7.403475539	0.03656446
CCC(C(CC)(C)C)(CC)C	-7.112873942	0.030407276
CCC(CC(CC)CC)CC	-8.331679625	0.049027859
CCC(CC(CC)(C)C)CC	-7.729931926	0.037641123
CCC(CCCC(C)(C)C)C	-9.268136368	0.06002713
CCC(CCC(C)(C)C)CC	-8.351585574	0.053644027
CCC(CCC(C)(C)C)(C)C	-6.968211007	0.032451578
CCC(CC(C(C)(C)C)C)C	-7.368910968	0.035060703
CCC(C(C(C)(C)C)C)CC	-6.542517332	0.029328549
CCC(C(C(C)(C)C)C)(C)C	-6.684745052	0.028272982
CCC(CC(CC)(C)C)(C)C	-7.079189066	0.033299819
CCC(C(CC)C)C(CC)C	-7.501620506	0.041363162
CCC(C(CC)(CC)CC)C	-7.645208837	0.038726809
CCC(C(C(CC)C)(C)C)C	-7.469802006	0.039278358
CCC(C(CC(C)(C)C)C)C	-7.366935184	0.037434947
CCC(CC(C)(C)C)(CC)C	-7.121472249	0.032824518
CCC(C(C(C)(C)C)CC)C	-6.751267703	0.034308229
CCC(C(C)(C)C)(CC)CC	-6.806393563	0.027170853
CCC(C(C(C)(C)C)(C)C)C	-6.716761343	0.02912498
CC(CCCC(C)(C)C)(C)C	-8.011494761	0.046466116
CC(C(C)(C)C)CC(C)(C)C	-6.66781918	0.03067291
CCC(C(C)(C)C)C(C)(C)C	-6.636642969	0.029976043
CC(C(C)(C)C)(C(C)(C)C)C	-6.161564013	0.023610243
CCCCCCCCCCCC	-18.44192711	0.174881547
CCCCCCCCCC(C)C	-17.64519545	0.166799374
CCCCCCCC(CCC)C	-17.56879404	0.169043982
CCCCCCCC(C(C)C)C	-15.87518091	0.157152042
CCCCCCC(CCC)CC	-16.60333689	0.162397898
CCCCCCC(C(C)C)CC	-14.68481089	0.118792672
CCCCCC(CCC)CCC	-16.4734309	0.135794065
CCCCCC(C(C)C)CCC	-14.59841768	0.12208598
CCCCC(CCCC)CCC	-16.43728874	0.151880181
CCCCC(C(C)C)CCCC	-14.30674995	0.113891626
CC(CCCCCCC(C)C)C	-16.99378546	0.158334823
CCCC(CCCCC(C)C)C	-16.31434551	0.165333983
CC(CCCCC(C(C)C)C)C	-15.38462614	0.134658618
CCCC(CCCC(C)C)CC	-15.28006762	0.134833075
CCC(C(C)C)CCCC(C)C	-13.56198525	0.109632056
CCCC(CCC(C)C)CCC	-14.90535025	0.135494972
CCCC(C(C)C)CCC(C)C	-12.60519601	0.091383899
CCCCC(CC(C)C)CCC	-13.91070971	0.116101978
CCCCC(C(C)C)CC(C)C	-11.79557458	0.082479912
CCCCCC(C(C)C)C(C)C	-12.40059695	0.083910555
CCCCCCC(CCC)(C)C	-14.93292666	0.124817617
